Original_Index,SA2,Price,Z-Score,SA2_Mean,SA2_Std,Deviation_From_Mean,Address,Suburb,Bedrooms,Bathrooms,Floor_Area,Land_Area
18299,Casuarina - Wandi,925000,2.884097949998446,377879.49912587414,189702.4686260814,547120.5008741259,32 Scovell Crescent,Anketell,5,2,259,2020
11456,Casuarina - Wandi,925000,2.884097949998446,377879.49912587414,189702.4686260814,547120.5008741259,202 Marri Park Drive,Casuarina,4,2,241,8508
25876,Wembley Downs - Churchlands - Woodlands,1950000,2.883941049696368,966601.5,340991.1933198273,983398.5,56 Cromarty Road,Churchlands,4,3,457,502
5226,Forrestfield - Wattle Grove,887500,2.880962233799781,473601.65497630334,143666.70280081895,413898.34502369666,14 Brentwood Road,Wattle Grove,5,2,220,11686
12371,Yokine - Coolbinia - Menora,2220000,2.8797152287773176,963742.2349823321,436243.74815389485,1256257.7650176678,22 Glick Road,Coolbinia,3,1,520,714
6251,Wanneroo - Sinagra,872000,2.878170268877747,518958.41985723557,122661.81190191435,353041.58014276443,15 Donath View,Landsdale,6,3,426,579
3804,Kalamunda - Maida Vale - Gooseberry Hill,1075000,2.878162328434187,479757.75092421443,206813.29999882824,595242.2490757855,12 Muja Lane,Woodbridge,4,2,266,279
2058,Port Kennedy,625000,2.875876197699148,367967.20430107525,89375.4730834952,257032.79569892475,11 Antonio Circuit,Port Kennedy,4,2,337,771
14201,Yanchep,740000,2.8705131927278393,398192.3728813559,119075.44197482869,341807.6271186441,25 Parkland Drive,Yanchep,4,2,246,1308
23014,Piara Waters - Forrestdale,1133000,2.8688277561583155,469187.012718601,231388.23369804525,663812.9872813991,458 Eleventh Road,Haynes,3,1,167,24251
17746,Maddington - Orange Grove - Martin,1120000,2.8686506615135685,462390.1898527005,229240.1159088255,657609.8101472994,31 Canter Court,Orange Grove,4,3,247,19441
11083,Riverton - Shelley - Rossmoyne,1900000,2.860424058917018,802721.9448621554,383606.77736478136,1097278.0551378448,20 First Avenue,Rossmoyne,4,3,420,1020
15073,Jandakot,1050000,2.8578897083190418,564175.6062992126,169994.101692098,485824.39370078745,27 Lakes Way,Jandakot,3,2,197,10034
4020,Yokine - Coolbinia - Menora,2210000,2.856792264167926,963742.2349823321,436243.74815389485,1246257.7650176678,12 Woodsome Street,Mount Lawley,2,1,268,987
3098,Lesmurdie - Bickley - Carmel,1430000,2.853689534467138,561552.7089072544,304324.37747819285,868447.2910927456,115 John Farrant Drive,Gooseberry Hill,4,2,258,10243
31677,Neerabup National Park,885000,2.85175898543747,467800.70680628275,146295.42514782937,417199.29319371725,82 Wallangarra Road,Carramar,4,1,288,1000
4252,Glen Forrest - Darlington,1400000,2.850113858636862,643897.1544715447,265288.6456578547,756102.8455284553,126 Hardey Road,Glen Forrest,4,2,262,20000
