Original_Index,SA2,Price,Z-Score,SA2_Mean,SA2_Std,Deviation_From_Mean,Address,Suburb,Bedrooms,Bathrooms,Floor_Area,Land_Area
20638,Murdoch - Kardinya,1405000,3.972120553446211,589506.6455399061,205304.28104770687,815493.3544600939,4 Cambria Link,North Coogee,4,2,357,586
2111,Fremantle - South,2033000,3.9699873123018317,868886.4134615385,293228.5407893404,1164113.5865384615,11 Beard Street,Beaconsfield,4,3,501,1012
23064,Kalamunda - Maida Vale - Gooseberry Hill,1300000,3.966100096465908,479757.75092421443,206813.29999882824,820242.2490757855,46 Bruce Road,Maida Vale,5,2,283,9515
30379,Kalamunda - Maida Vale - Gooseberry Hill,1300000,3.966100096465908,479757.75092421443,206813.29999882824,820242.2490757855,78 Hawkvalley Crescent,Maida Vale,5,3,249,400
15782,Kalamunda - Maida Vale - Gooseberry Hill,1300000,3.966100096465908,479757.75092421443,206813.29999882824,820242.2490757855,29 Bruce Road,Maida Vale,5,3,335,10386
19322,Lockridge - Kiara,1012000,3.9502495206441126,448533.7236641221,142640.6796307898,563466.2763358778,35 Wilson Street,Bassendean,4,2,166,1013
15356,Padbury,1950000,3.9481069834071443,723002.7368421053,310781.15874636674,1226997.2631578948,28 Barbados Turn,Hillarys,5,4,371,700
26576,Murdoch - Kardinya,1400000,3.947766458273504,589506.6455399061,205304.28104770687,810493.3544600939,6 Bombay Heights,North Coogee,5,4,440,539
20108,Murdoch - Kardinya,1400000,3.947766458273504,589506.6455399061,205304.28104770687,810493.3544600939,38 Riley Road,Kardinya,4,3,454,735
31978,Mundaring,1400000,3.946016257646513,564910.7292418772,211628.44150474624,835089.2707581228,865 Martin Road,Mundaring,5,3,301,7304
25364,Iluka - Burns Beach,1700000,3.9434129953334467,715964.8845577211,249538.9442107042,984035.1154422789,528 Burns Beach Road,Burns Beach,5,4,441,565
17972,Kalamunda - Maida Vale - Gooseberry Hill,1295000,3.941923701620759,479757.75092421443,206813.29999882824,815242.2490757855,31 The Crescent,Helena Valley,4,2,341,4000
8754,Singleton - Golden Bay - Secret Harbour,1000000,3.936977084261112,461583.0091324201,136758.98521736744,538416.9908675798,18 Drummonds Approach,Secret Harbour,4,3,379,708
9360,Mindarie - Quinns Rocks - Jindalee,1215000,3.9058877259509615,469936.92954363493,190753.83695903997,745063.0704563651,19 Baton Rouge Drive,Mindarie,4,2,300,724
